,Artist,followers,popularity,genre,2018,Ticket_Sales
0,Ed Sheeran,52850433,96,"['pop', 'uk pop']",1,4860482
1,Roger Waters,835496,57,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'rock', 'symphonic rock']",5,1448771
2,Kenny Chesney,2672559,75,"['contemporary country', 'country', 'country road']",6,1297731
3,Bruno Mars,22701560,88,['pop'],7,1290438
4,Justin Timberlake,8373515,81,"['dance pop', 'pop']",9,1193366
5,Imagine Dragons,22696963,90,"['modern rock', 'rock']",10,1131769
6,Sam Smith,10167854,90,"['pop', 'uk pop']",11,1070957
7,Foo Fighters,6873440,80,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",12,1045728
8,Luke Bryan,4566106,78,"['contemporary country', 'country', 'country road']",14,994648
9,Eagles,3881640,78,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",15,964245
10,U2,5727123,80,"['irish rock', 'permanent wave', 'rock']",16,927034
11,Trans-Siberian Orchestra,185064,47,"['neo classical metal', 'progressive metal']",17,925345
12,Helene Fischer,720600,66,"['classic schlager', 'german pop', 'partyschlager', 'schlager']",18,899004
13,Depeche Mode,2565181,75,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",19,871375
14,Harry Styles,5130326,82,"['dance pop', 'pop', 'post-teen pop']",21,757843
15,The Rolling Stones,7553478,82,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",22,750914
16,Dave Matthews Band,1158853,70,"['jam band', 'neo mellow', 'pop rock']",23,716489
17,Kevin Hart,212352,52,['comedy'],24,703020
18,Drake,41496767,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",25,678410
19,André Rieu,407421,63,"['easy listening', 'operatic pop']",27,645408
20,The Killers,4897436,79,"['indie rock', 'modern rock', 'permanent wave', 'rock']",28,638283
21,Katy Perry,14020862,87,"['dance pop', 'pop', 'post-teen pop']",29,633837
22,Jason Aldean,3369322,78,"['contemporary country', 'country', 'country road']",31,625929
23,Keith Urban,3357318,74,"['australian country', 'contemporary country', 'country', 'country road']",32,607650
24,Phil Collins,2298161,78,"['mellow gold', 'soft rock']",33,606694
25,Metallica,12068074,84,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",35,599136
26,Shania Twain,1674020,73,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn', 'dance pop']",36,596972
27,Phish,295091,60,"['blues rock', 'jam band', 'pop rock', 'roots rock']",37,577620
